Borough,Avg-HousePrice,Latitude,Longitude
Adalar,5568,40.8619,29.1208
Arnavutkoy,2265,41.1956,28.7352
Atasehir,5512,40.9831,29.1279
Avcilar,2454,40.9880,28.7170
Bagcilar,3264,41.0450,28.8338
Bahcelievler,3049,40.9976,28.8500
Bakirkoy,9200,40.9835,28.8679
Basaksehir,3214,41.0969,28.7718
Bayrampasa,3379,41.0477,28.8992
Besiktas,12190,41.0469,29.0078
Beykoz,8863,41.0936,29.0879
Beylikduzu,2513,40.9847,28.6425
Beyoglu,4888,41.03,28.9748
BuyukCekmece,3000,41.0198,28.5664
Catalca,2400,41.1428,28.4616
Cekmekoy,3021,41.0423,29.1778
Esenler,2678,41.054,28.8722
Esenyurt,2095,41.0316,28.6622
Eyup,5998,41.0547,28.9343
Fatih,3891,41.0145,28.9486
Gaziosmanpasa,3328,41.0624,28.9116
Gungoren,2933,41.0207,28.8748
Kadikoy,7483,40.989,29.0337
Kagithane,3711,41.0856,28.9817
Kartal,3550,40.9073,29.2084
KuCukCekmece,4096,41.0022,28.7856
Maltepe,4047,40.9256,29.1305
Pendik,3016,40.8841,29.2511
Sancaktepe,2459,40.9911,29.2276
Sariyer,8433,41.1649,29.0458
Silivri,2287,41.0691,28.2544
Sultanbeyli,2779,40.9646,29.2732
Sultangazi,2507,41.1022,28.8735
Sile,3497,41.1728,29.6139
Sisli,5529,41.0595,28.9879
Tuzla,2869,40.8268,29.3028
Umraniye,3555,41.0345,29.1002
Uskudar,4770,41.0242,29.0199
Zeytinburnu,3693,40.9903,28.8961
